level,key,images,calls,reps,iou_mean,iou_sd,ci_lo,ci_hi,half,hits,misses,hit_pct,no_coords,no_coords_pct,iou_sd_within,drift_pct,agree_pct
class,acousticguitar_violin / acousticguitar,511,2555,5.0,0.9357406690334071,0.10263884365997308,0.9268203318856684,0.9446610061811459,0.008920337147738766,2462,93,96.3600782778865,0,0.0,0.028001830873774846,0.9729088572474769,93.73776908023484
class,acousticguitar_violin / violin,431,2155,5.0,0.7034317917845695,0.2945768417200582,0.6755428411747716,0.7313207423943674,0.027888950609797902,1327,828,61.57772621809745,1,0.04640371229698376,0.07238924893285163,3.046509381550178,77.9582366589327
class,ambulance_firetruck / ambulance,474,2370,5.0,0.9219886090998007,0.14711654175427147,0.9087105950898338,0.9352666231097677,0.013278014009966976,2270,100,95.78059071729957,0,0.0,0.027118235538223404,1.0507439137731505,95.35864978902954
class,ambulance_firetruck / firetruck,462,2310,5.0,0.9019541427645844,0.14330198745474615,0.8888526430298184,0.9150556424993505,0.013101499734766042,2182,128,94.45887445887445,0,0.0,0.0395104999477901,1.4920615387875842,90.9090909090909
class,ant_bee / ant,412,2060,5.0,0.8025061432406062,0.22456553051388167,0.7807579409575893,0.8242543455236231,0.021748202283016882,1668,392,80.97087378640776,3,0.14563106796116504,0.039342074529258815,1.2442526394318318,85.67961165048543
class,ant_bee / bee,503,2515,5.0,0.8839971209628821,0.13009003019598825,0.8726010156521247,0.8953932262736395,0.01139610531075741,2327,188,92.52485089463221,0,0.0,0.031359594571185985,0.7994828478451914,93.63817097415506
class,cucumber_zucchini / cucumber,375,1875,5.0,0.7163243148777794,0.3351127473060341,0.6822967322325005,0.7503518975230582,0.03402758264527883,1309,566,69.81333333333333,2,0.10666666666666667,0.04566872086975303,2.3667824879680497,86.93333333333332
class,cucumber_zucchini / zucchini,323,1615,5.0,0.8165106901547526,0.24600227036858807,0.7895816186848937,0.8434397616246115,0.0269290714698589,1301,314,80.55727554179568,1,0.061919504643962855,0.0627151568496792,2.7786941349881347,85.13931888544892
class,hotpot_vase / hotpot,517,2585,5.0,0.6966633158166516,0.21943794127947466,0.6777034873030717,0.7156231443302316,0.018959828513579913,1403,1182,54.27466150870406,7,0.27079303675048355,0.09002900282342098,2.986490317708658,66.92456479690522
class,hotpot_vase / vase,523,2615,5.0,0.8752589566471621,0.2198617186891128,0.8563723039267047,0.8941456093676196,0.01888665272045742,2343,272,89.59847036328871,0,0.0,0.03853087369038786,1.6344960407792692,92.16061185468452
pair,acousticguitar_violin,942,4710,5.0,0.8294507262581958,0.242428044874426,0.8139495569908728,0.8449518955255189,0.015501169267323034,3789,921,80.44585987261146,1,0.021231422505307858,0.048310723849849246,1.9216581417214305,86.51804670912952
pair,ambulance_firetruck,936,4680,5.0,0.912099801998444,0.1455141144941308,0.9027655862117028,0.9214340177851852,0.009334215786741207,4452,228,95.12820512820512,0,0.0,0.03323493015063774,1.2685737671456594,93.16239316239316
pair,ant_bee,915,4575,5.0,0.8473039156933984,0.18335019088463617,0.8354080954515007,0.859199735935296,0.011895820241897614,3995,580,87.3224043715847,3,0.06557377049180328,0.03495389155777178,0.9997507758601596,90.05464480874316
pair,cucumber_zucchini,698,3490,5.0,0.7626856318039431,0.3011901506363272,0.7403027528740243,0.785068510733862,0.02238287892991886,2610,880,74.78510028653295,3,0.08595988538681948,0.05355697133037789,2.557394897692244,86.10315186246417
pair,hotpot_vase,1040,5200,5.0,0.7864763159650718,0.23702680221350822,0.7720539973007168,0.8008986346294269,0.01442231866435506,3746,1454,72.03846153846155,7,0.1346153846153846,0.06413138596132836,2.306593195752821,79.61538461538461
all,all,4531,22655,5.0,0.8299803622308652,0.22976410992524499,0.8232884643557211,0.8366722601060094,0.006691897875144126,18592,4063,82.06576914588392,14,0.06179651291105716,0.04693860398395528,1.786863283521097,86.95652173913044
