pair,class,words,tier,tier_name,captions,with_term,pct
ambulance_firetruck,firetruck,5,1,Class name,6780,6014,88.70206489675516
ambulance_firetruck,firetruck,5,2,Synonyms,6780,1,0.014749262536873156
ambulance_firetruck,firetruck,5,3,Head noun,6780,6386,94.18879056047197
ambulance_firetruck,firetruck,7,1,Class name,6780,5876,86.66666666666667
ambulance_firetruck,firetruck,7,2,Synonyms,6780,1,0.014749262536873156
ambulance_firetruck,firetruck,7,3,Head noun,6780,6349,93.64306784660766
ambulance_firetruck,firetruck,10,1,Class name,6780,5443,80.28023598820059
ambulance_firetruck,firetruck,10,2,Synonyms,6780,2,0.029498525073746312
ambulance_firetruck,firetruck,10,3,Head noun,6780,6259,92.31563421828909
ambulance_firetruck,firetruck,15,1,Class name,6780,4894,72.18289085545723
ambulance_firetruck,firetruck,15,2,Synonyms,6780,6,0.08849557522123894
ambulance_firetruck,firetruck,15,3,Head noun,6780,6132,90.4424778761062
ambulance_firetruck,firetruck,20,1,Class name,6780,4719,69.60176991150442
ambulance_firetruck,firetruck,20,2,Synonyms,6780,26,0.3834808259587021
ambulance_firetruck,firetruck,20,3,Head noun,6780,6062,89.41002949852508
ambulance_firetruck,firetruck,25,1,Class name,6780,4662,68.76106194690266
ambulance_firetruck,firetruck,25,2,Synonyms,6780,28,0.41297935103244837
ambulance_firetruck,firetruck,25,3,Head noun,6780,6042,89.11504424778761
ambulance_firetruck,firetruck,30,1,Class name,6780,4767,70.30973451327434
ambulance_firetruck,firetruck,30,2,Synonyms,6780,46,0.6784660766961652
ambulance_firetruck,firetruck,30,3,Head noun,6780,6183,91.19469026548673
ant_bee,ant,3,1,Class name,8280,7512,90.72463768115942
ant_bee,ant,3,2,Synonyms,8280,0,0.0
ant_bee,ant,3,3,Head noun,8280,0,0.0
ant_bee,ant,5,1,Class name,8280,7564,91.35265700483092
ant_bee,ant,5,2,Synonyms,8280,0,0.0
ant_bee,ant,5,3,Head noun,8280,0,0.0
ant_bee,ant,7,1,Class name,8280,7564,91.35265700483092
ant_bee,ant,7,2,Synonyms,8280,0,0.0
ant_bee,ant,7,3,Head noun,8280,0,0.0
ant_bee,ant,10,1,Class name,8280,7522,90.84541062801932
ant_bee,ant,10,2,Synonyms,8280,0,0.0
ant_bee,ant,10,3,Head noun,8280,0,0.0
ant_bee,ant,15,1,Class name,8280,7518,90.79710144927536
ant_bee,ant,15,2,Synonyms,8280,0,0.0
ant_bee,ant,15,3,Head noun,8280,0,0.0
ant_bee,ant,20,1,Class name,8280,7540,91.06280193236715
ant_bee,ant,20,2,Synonyms,8280,0,0.0
ant_bee,ant,20,3,Head noun,8280,0,0.0
ant_bee,ant,25,1,Class name,8280,7565,91.36473429951691
ant_bee,ant,25,2,Synonyms,8280,0,0.0
ant_bee,ant,25,3,Head noun,8280,0,0.0
ant_bee,ant,30,1,Class name,8280,7591,91.67874396135265
ant_bee,ant,30,2,Synonyms,8280,5,0.06038647342995169
ant_bee,ant,30,3,Head noun,8280,0,0.0
ant_bee,bee,3,1,Class name,8360,6308,75.45454545454545
ant_bee,bee,3,2,Synonyms,8360,1546,18.492822966507177
ant_bee,bee,3,3,Head noun,8360,0,0.0
ant_bee,bee,5,1,Class name,8360,5859,70.08373205741627
ant_bee,bee,5,2,Synonyms,8360,2055,24.58133971291866
ant_bee,bee,5,3,Head noun,8360,0,0.0
ant_bee,bee,7,1,Class name,8360,5550,66.38755980861244
ant_bee,bee,7,2,Synonyms,8360,2375,28.40909090909091
ant_bee,bee,7,3,Head noun,8360,0,0.0
ant_bee,bee,10,1,Class name,8360,4872,58.27751196172249
ant_bee,bee,10,2,Synonyms,8360,3080,36.8421052631579
ant_bee,bee,10,3,Head noun,8360,0,0.0
ant_bee,bee,15,1,Class name,8360,3957,47.33253588516747
ant_bee,bee,15,2,Synonyms,8360,3969,47.47607655502392
ant_bee,bee,15,3,Head noun,8360,0,0.0
ant_bee,bee,20,1,Class name,8360,3320,39.71291866028708
ant_bee,bee,20,2,Synonyms,8360,4700,56.2200956937799
ant_bee,bee,20,3,Head noun,8360,0,0.0
ant_bee,bee,25,1,Class name,8360,3631,43.433014354066984
ant_bee,bee,25,2,Synonyms,8360,4963,59.366028708133975
ant_bee,bee,25,3,Head noun,8360,0,0.0
ant_bee,bee,30,1,Class name,8360,4988,59.665071770334926
ant_bee,bee,30,2,Synonyms,8360,5244,62.72727272727273
ant_bee,bee,30,3,Head noun,8360,0,0.0
cucumber_zucchini,cucumber,3,1,Class name,6340,3633,57.30283911671924
cucumber_zucchini,cucumber,3,2,Synonyms,6340,0,0.0
cucumber_zucchini,cucumber,3,3,Head noun,6340,0,0.0
cucumber_zucchini,cucumber,5,1,Class name,6340,4378,69.05362776025237
cucumber_zucchini,cucumber,5,2,Synonyms,6340,0,0.0
cucumber_zucchini,cucumber,5,3,Head noun,6340,0,0.0
cucumber_zucchini,cucumber,7,1,Class name,6340,4540,71.60883280757098
cucumber_zucchini,cucumber,7,2,Synonyms,6340,0,0.0
cucumber_zucchini,cucumber,7,3,Head noun,6340,0,0.0
cucumber_zucchini,cucumber,10,1,Class name,6340,4876,76.90851735015772
cucumber_zucchini,cucumber,10,2,Synonyms,6340,0,0.0
cucumber_zucchini,cucumber,10,3,Head noun,6340,0,0.0
cucumber_zucchini,cucumber,15,1,Class name,6340,5210,82.17665615141956
cucumber_zucchini,cucumber,15,2,Synonyms,6340,1,0.015772870662460567
cucumber_zucchini,cucumber,15,3,Head noun,6340,0,0.0
cucumber_zucchini,cucumber,20,1,Class name,6340,5312,83.78548895899054
cucumber_zucchini,cucumber,20,2,Synonyms,6340,0,0.0
cucumber_zucchini,cucumber,20,3,Head noun,6340,0,0.0
cucumber_zucchini,cucumber,25,1,Class name,6340,5353,84.43217665615143
cucumber_zucchini,cucumber,25,2,Synonyms,6340,0,0.0
cucumber_zucchini,cucumber,25,3,Head noun,6340,0,0.0
cucumber_zucchini,cucumber,30,1,Class name,6340,5388,84.98422712933754
cucumber_zucchini,cucumber,30,2,Synonyms,6340,2,0.031545741324921134
cucumber_zucchini,cucumber,30,3,Head noun,6340,0,0.0
cucumber_zucchini,zucchini,3,1,Class name,5465,4672,85.48947849954254
cucumber_zucchini,zucchini,3,2,Synonyms,5465,1,0.018298261665141813
cucumber_zucchini,zucchini,3,3,Head noun,5465,0,0.0
cucumber_zucchini,zucchini,5,1,Class name,5465,4936,90.32021957913999
cucumber_zucchini,zucchini,5,2,Synonyms,5465,1,0.018298261665141813
cucumber_zucchini,zucchini,5,3,Head noun,5465,0,0.0
cucumber_zucchini,zucchini,7,1,Class name,5465,4952,90.61299176578225
cucumber_zucchini,zucchini,7,2,Synonyms,5465,6,0.10978956999085086
cucumber_zucchini,zucchini,7,3,Head noun,5465,0,0.0
cucumber_zucchini,zucchini,10,1,Class name,5465,5087,93.0832570905764
cucumber_zucchini,zucchini,10,2,Synonyms,5465,9,0.16468435498627632
cucumber_zucchini,zucchini,10,3,Head noun,5465,0,0.0
cucumber_zucchini,zucchini,15,1,Class name,5465,5127,93.81518755718207
cucumber_zucchini,zucchini,15,2,Synonyms,5465,10,0.18298261665141813
cucumber_zucchini,zucchini,15,3,Head noun,5465,0,0.0
cucumber_zucchini,zucchini,20,1,Class name,5465,5178,94.7483989021043
