pair,n_words,rate,acc_named,named_lo,named_hi,acc_unnamed,unnamed_lo,unnamed_hi,acc_all,all_lo,all_hi,n_named,n_unnamed
acousticguitar_violin,3,0.8399163429937258,0.9996029405925592,0.9994443336192566,0.9997615475658618,0.8560917486732691,0.8465907664430266,0.8655927309035116,0.9765880373915179,0.9748942238138975,0.9782818509691383,70280,13395
acousticguitar_violin,5,0.9305646847923513,0.9990762636756249,0.9986754657463959,0.9994770616048538,0.8513172084843778,0.8337255546177061,0.8689088623510494,0.988742600896861,0.9873598790079408,0.9901253227857811,77865,5810
acousticguitar_violin,7,0.946399760979982,0.9982183141141592,0.9977546770367177,0.9986819511916006,0.824801269919236,0.7993148926581374,0.8502876471803346,0.9888503669990852,0.9873166275469331,0.9903841064512374,79190,4485
acousticguitar_violin,10,0.9591873319390499,0.9906000126749952,0.9894109099337877,0.9917891154162027,0.804487074910213,0.7808950499780978,0.8280790998423282,0.9830291948330099,0.9813397617479013,0.9847186279181185,80260,3415
acousticguitar_violin,15,0.9617567971317598,0.9825870646449204,0.980783334444444,0.9843907948453968,0.8191475738804465,0.7976052925457492,0.8406898552151437,0.9763602079289652,0.9743555981564114,0.978364817701519,80475,3200
acousticguitar_violin,20,0.9629518972213923,0.9754640783519781,0.9738332068100237,0.9770949498939325,0.8336101614816246,0.8113546354776022,0.855865687485647,0.9702534502376012,0.968151404822608,0.9723554956525945,80575,3100
acousticguitar_violin,25,0.9621153271586496,0.9690168416537206,0.9651674378508839,0.9728662454565573,0.8257298497319441,0.8010057195249719,0.8504539799389162,0.9635969033754992,0.9597599565715647,0.9674338501794337,80505,3170
acousticguitar_violin,30,0.9673737675530326,0.9633668871846683,0.9610327261930866,0.9657010481762501,0.8478698251787036,0.8229915901697465,0.8727480601876606,0.9596051848381412,0.9571959023093409,0.9620144673669414,80945,2730
ambulance_firetruck,3,0.9163991625959526,0.9978392964596288,0.9971630502793115,0.998515542639946,0.800091572874515,0.7835608916561526,0.8166222540928775,0.9813395357887758,0.9798127186194251,0.9828663529581264,65660,5990
ambulance_firetruck,5,0.9252616887648291,0.9966850497768543,0.995825083565218,0.9975450159884907,0.8117749700070389,0.7893631427174519,0.8341867972966259,0.982860304893251,0.9807127517863075,0.9850078580001946,66295,5355
ambulance_firetruck,7,0.9242149337055129,0.996048284909524,0.9950543003002328,0.9970422695188152,0.7933296301779653,0.7686944681465605,0.8179647922093701,0.9807812175055184,0.9788116051829827,0.9827508298280541,66220,5430
ambulance_firetruck,10,0.9200976971388695,0.9925885914846957,0.9914408727198467,0.9937363102495447,0.8153893097550744,0.7966894254761036,0.8340891940340452,0.9784784039014661,0.9766784351022489,0.9802783727006833,65925,5725
ambulance_firetruck,15,0.9103279832519191,0.9865694195094252,0.9847171851997785,0.988421653819072,0.8339149433815051,0.8196778443255268,0.8481520424374833,0.9728538956892936,0.9706587587577052,0.9750490326208819,65225,6425
ambulance_firetruck,20,0.9071179344033496,0.9842374513275186,0.9825202821589281,0.9859546204961092,0.8263484753759791,0.8086989217197948,0.8439980290321634,0.9694898297973255,0.9666253081269258,0.9723543514677251,64995,6655
ambulance_firetruck,25,0.9052337752965806,0.9836170397069058,0.9813755986877679,0.9858584807260438,0.8151301146412482,0.7997329566182243,0.8305272726642721,0.9676069832351278,0.9648395191226443,0.9703744473476114,64860,6790
ambulance_firetruck,30,0.9170912136227232,0.9821982399956737,0.9802343812006152,0.9841620987907321,0.7965151088598688,0.7752359650742765,0.817794252645461,0.9666837159940305,0.9633469823184785,0.9700204496695825,65705,5940
ant_bee,3,0.9232572115384615,0.998064181164123,0.9974541552629324,0.9986742070653136,0.7481926910980424,0.7314814900389038,0.764903892157181,0.9789054257264784,0.9772620536165127,0.9805487978364441,76815,6385
ant_bee,5,0.9298677884615385,0.9985903269605914,0.9980260332517119,0.9991546206694708,0.7709168755807599,0.7491958776602264,0.7926378735012934,0.9827758766285082,0.9809503546105325,0.9846013986464839,77365,5835
ant_bee,7,0.93046875,0.9952112537288539,0.9942084476310754,0.9962140598266324,0.7982390401975578,0.7743860957346465,0.8220919846604691,0.9816949219896588,0.9798208974671717,0.9835689465121459,77415,5785
ant_bee,10,0.9295072115384615,0.9876880294911615,0.9861541152445746,0.9892219437377484,0.7611541459484883,0.740565604244163,0.7817426876528136,0.9718015037593986,0.9694676023116533,0.9741354052071438,77335,5865
ant_bee,15,0.9268585852515175,0.9716953354522607,0.9693439844770344,0.974046686427487,0.7672069564955324,0.7464646314576222,0.7879492815334426,0.9567631346733214,0.9541916768688227,0.9593345924778202,77110,6085
ant_bee,20,0.9261418269230769,0.9594716633245034,0.9561847238278589,0.9627586028211479,0.7644182607943083,0.7440479097639517,0.7847886118246649,0.945119320824584,0.9421287239208047,0.9481099177283634,77055,6145
ant_bee,25,0.9283052884615385,0.9540296162239751,0.9507038637202956,0.9573553687276546,0.7498903448289381,0.7274941558282487,0.7722865338296275,0.9393970873128769,0.9363138049547047,0.942480369671049,77235,5965
ant_bee,30,0.9286658653846154,0.9445679140241312,0.9406042266909238,0.9485316013573386,0.7512926682464736,0.7272872140276987,0.7752981224652484,0.9308397841450471,0.927017479649269,0.9346620886408252,77265,5935
cucumber_zucchini,3,0.7036001694197374,0.9990399833436492,0.9987538128378615,0.9993261538494369,0.7400257768989618,0.7287406590442927,0.7513108947536308,0.9223378005518329,0.91914494992037,0.9255306511832958,41530,17495
cucumber_zucchini,5,0.7890724269377383,0.9974051857887111,0.9967123747706674,0.9980979968067547,0.7103567167157613,0.6963101530699525,0.7244032803615701,0.9369074784104344,0.9336486971606819,0.940166259660187,46575,12450
cucumber_zucchini,7,0.8042354934349851,0.9938759225206384,0.9924487895973677,0.9953030554439091,0.6713273567311283,0.6557152257109156,0.6869394877513411,0.9307566202028166,0.9275777091111321,0.933935531294501,47470,11555
cucumber_zucchini,10,0.8442185514612452,0.9812135120635301,0.9792907481062411,0.9831362760208192,0.5973805007174053,0.5760850986169833,0.6186759028178274,0.9214717812735157,0.9182794729458506,0.9246640896011808,49830,9195
cucumber_zucchini,15,0.8758895289732294,0.9562615234447394,0.9522651777747757,0.960257869114703,0.5176043897149711,0.49549244518096175,0.5397163342489806,0.9017606171525194,0.8965645720797794,0.9069566622252595,51695,7325
cucumber_zucchini,20,0.8886065226598899,0.928589016695717,0.9227504357676176,0.9344275976238164,0.5155495346578117,0.4915790160790821,0.5395200532365413,0.8824891604256996,0.8769937980774837,0.8879845227739155,52450,6575
cucumber_zucchini,25,0.8917407878017789,0.9026008055057706,0.895904198105099,0.9092974129064422,0.5162701456258488,0.4962215796174058,0.5363187116342918,0.8607519618733651,0.8540963300336186,0.8674075937131116,52635,6390
cucumber_zucchini,30,0.8959762812367641,0.8706610563051461,0.8632552537429827,0.8780668588673095,0.5291955932845583,0.5062761616104431,0.5521150249586736,0.8350196008169993,0.8277944814067463,0.8422447202272524,52885,6140
hotpot_vase,3,0.47848101265822784,0.9977605900815212,0.9969210778126643,0.9986001023503781,0.9936922243525101,0.9922316879759226,0.9951527607290976,0.9956399816368265,0.9946496578391345,0.9966303054345186,29295,31930
hotpot_vase,5,0.6517762351980401,0.9986243556464306,0.9980012715808487,0.9992474397120125,0.9924600181280837,0.9900141374588155,0.9949058987973519,0.9965217478402404,0.9954911725551223,0.9975523231253585,39905,21320
hotpot_vase,7,0.6779910167415272,0.9985786988455101,0.9979587218577921,0.9991986758332281,0.9912947027798741,0.9885103592923238,0.9940790462674244,0.9962603564125037,0.9951700841467125,0.9973506286782948,41510,19715
hotpot_vase,10,0.7088607594936709,0.9983865886337183,0.9977101369114637,0.9990630403559729,0.9899763431486341,0.9865861138024415,0.9933665724948267,0.9959828053920954,0.9948416695935445,0.9971239411906463,43400,17825
hotpot_vase,15,0.7179026461940542,0.9973489536641033,0.9964951243234236,0.9982027830047829,0.9877749594373312,0.9837832644771016,0.9917666543975607,0.9946916814817669,0.9934579912305014,0.9959253717330324,43950,17270
hotpot_vase,20,0.7292772560228665,0.9974527315923328,0.9965042927553507,0.998401170429315,0.9861565884753368,0.9820390315343308,0.9902741454163428,0.9944637035182171,0.993143193563365,0.9957842134730692,44650,16575
hotpot_vase,25,0.7347488770926909,0.9970902707371943,0.9961392365597315,0.998041304914657,0.9887467664458753,0.9852611189573811,0.9922324139343696,0.9949374400066776,0.9936965733418853,0.9961783066714699,44985,16240
hotpot_vase,30,0.7514087382605145,0.9984173459935854,0.9977607973686036,0.9990738946185673,0.9859743749855775,0.9822648529884083,0.9896838969827467,0.9953783231083846,0.994231857507871,0.9965247887088982,46005,15220
