pair,n_words,n_images,len_mean,len_sd,jaccard,jaccard_content,identical,class_unanimous
acousticguitar_violin,3,3347,3.7131162234837167,0.5341705738130187,0.622196092448014,0.629706633062139,0.3362414102181058,0.8069913355243502
acousticguitar_violin,5,3347,5.623961756797132,0.5367225378112536,0.6168622898237655,0.6227782344468931,0.22987750224081266,0.9241111443083359
acousticguitar_violin,7,3347,7.137257245294294,0.7584734910698478,0.5942867064788143,0.5914740618243756,0.1565282342396176,0.9375560203167015
acousticguitar_violin,10,3347,10.14562294592172,1.0114150269694788,0.5627332605600173,0.5460541105609064,0.06746340005975501,0.9393486704511503
acousticguitar_violin,15,3347,16.76319091723932,1.7412290687191403,0.5288651073290412,0.4958206554459284,0.013235733492680013,0.9303854197789064
acousticguitar_violin,20,3347,22.862742754705707,2.3231569841603736,0.5114668137717714,0.4658700060683042,0.004631012847325963,0.9229160442187033
acousticguitar_violin,25,3347,27.507798028084853,3.0053484502541994,0.4723601707082027,0.4293537636865464,0.001254855094114132,0.9270988945324171
acousticguitar_violin,30,3347,34.75619958171497,3.117829296786528,0.4610596443059009,0.4193918689559818,0.00041828503137137735,0.9333731700029877
ambulance_firetruck,3,2866,3.901605024424285,0.5995053766424683,0.6742426464607872,0.686920203697096,0.37609909281228193,0.9050942079553385
ambulance_firetruck,5,2866,5.848848569434753,0.5763286046753175,0.6773788067288949,0.6911200485371805,0.2841939986043266,0.9361479413817166
ambulance_firetruck,7,2866,7.517725052337754,0.7257948103688721,0.6525533425910998,0.6623263000278005,0.18974180041870206,0.9302163293789253
ambulance_firetruck,10,2866,10.716608513607815,1.003765903101346,0.6322629884644748,0.6370764744945611,0.10286113049546408,0.9253314724354501
ambulance_firetruck,15,2866,17.0973482205164,1.7235314998511169,0.5728663907469534,0.5674474837647773,0.021109560362875087,0.9040474528960223
ambulance_firetruck,20,2866,23.73698534542917,2.412699919235901,0.5543544784440608,0.527352732566705,0.008862526168876483,0.9002093510118633
ambulance_firetruck,25,2866,28.81242149337055,3.155075408731927,0.5181311652448002,0.4870760922884772,0.0022679692951849267,0.8977669225401256
ambulance_firetruck,30,2866,36.54759246336357,3.2012339819587807,0.5025477898478061,0.46512275401380443,0.000314026517794836,0.8970690858339149
ant_bee,3,3328,3.6272235576923078,0.4299309851679944,0.6240643679946408,0.6338928174778182,0.30712139423076923,0.9438100961538461
ant_bee,5,3328,5.4326923076923075,0.4466303665911627,0.6568700853766958,0.6422804452491953,0.25408653846153845,0.9672475961538461
ant_bee,7,3328,6.832812499999999,0.6409751111393724,0.5914726635916717,0.5827819476613798,0.129296875,0.96484375
ant_bee,10,3328,9.728125,1.0086332345896294,0.534346110586432,0.5317747706359671,0.050300480769230764,0.9561298076923077
ant_bee,15,3328,16.562860576923075,1.6577093750192717,0.5153084127685369,0.489035893617353,0.016826923076923076,0.9561298076923077
ant_bee,20,3328,22.300060096153842,2.2637001393394907,0.47813466740463,0.4454183629024136,0.00390625,0.9516225961538461
ant_bee,25,3328,26.93701923076923,2.764529692405872,0.4398765971158683,0.4047582544627021,0.0011418269230769231,0.9540264423076923
ant_bee,30,3328,33.58653846153846,2.822884099139997,0.4296209079994448,0.38820950851823854,0.0001201923076923077,0.9543269230769231
cucumber_zucchini,3,2361,3.5125794155019063,0.47834914340098594,0.6444850748835745,0.6538627940970232,0.3772554002541296,0.8462515883100381
cucumber_zucchini,5,2361,5.627022448115206,0.4834302554327105,0.6580231253992372,0.6605086998511395,0.27399407030919104,0.9076662431173231
cucumber_zucchini,7,2361,7.116391359593394,0.6745481559424517,0.6487427466970969,0.6433940408972175,0.19089368911478188,0.8979246082168573
cucumber_zucchini,10,2361,10.163998305802627,0.9850896661841961,0.6200936439787038,0.6121365143715125,0.08703939008894536,0.892842016094875
cucumber_zucchini,15,2361,15.998898771706905,1.5934973183129268,0.572844743039133,0.5443011441396688,0.02545531554426091,0.8873358746293943
cucumber_zucchini,20,2361,21.523591698432867,2.123660872553964,0.5237754449925195,0.4896182612827312,0.005167301990681915,0.891147818720881
cucumber_zucchini,25,2361,25.74053367217281,2.6862081815358425,0.4799819106925177,0.4487697944800052,0.0015671325709445151,0.8915713680643795
cucumber_zucchini,30,2361,32.47217280813215,2.921477866178113,0.45966898815803153,0.4252349922679987,0.00021177467174925878,0.8907242693773825
hotpot_vase,3,2449,3.765700285830951,0.7409387066841209,0.5392670943088552,0.5464221365756373,0.24385463454471215,0.6884442629644753
hotpot_vase,5,2449,6.056512862392814,0.6361101005807364,0.5925752679407403,0.5767394294865765,0.18832176398530015,0.8109432421396489
hotpot_vase,7,2449,7.608983258472847,0.7656540746560723,0.5891535119150833,0.5561886068878719,0.11723152307064108,0.8125765618619845
hotpot_vase,10,2449,10.963086974275214,1.0676771544874948,0.5687153281072438,0.5335940158810881,0.04475296039199673,0.819518170681911
hotpot_vase,15,2449,17.38750510412413,1.6958540795680708,0.540137817034268,0.49291849812801425,0.008452429563086974,0.8280930992241732
hotpot_vase,20,2449,23.110820743160474,2.0762627766208137,0.5201766742269726,0.4705122667807698,0.0032258064516129032,0.8395263372805226
hotpot_vase,25,2449,27.288770926908942,2.7150673608924696,0.4807443946181204,0.4358252778471804,0.000898325847284606,0.8350347080440996
hotpot_vase,30,2449,34.33752552062066,3.0404694608806824,0.4549651095993722,0.41277546192173964,0.00028583095140873824,0.8231931400571662
