family,pair,setup,level,arm_a,arm_b,metric,k,mean_a,mean_b,delta,delta_ci_lo,delta_ci_hi,t_nb,p_nb,p_nb_bonf,w,p_wilcoxon,p_wilcoxon_bonf,significant
tags_vs_clean,ant_bee,w07,image,caption_noclass_tagsub,tags,f1_macro,25,0.874001957536999,0.9576810343787381,-0.08367907684173899,-0.09241784312107722,-0.07494031056240076,-7.339831691107935,1.399696526042546e-07,2.799393052085092e-06,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w07,image,caption_noclass_tagsub,tags,roc_auc,25,0.951149029113412,0.9931779434831677,-0.042028914369755525,-0.04608050724668697,-0.03797732149282408,-7.95136552075298,3.51509989615562e-08,7.030199792311241e-07,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w07,image,caption_noclass_tagsub,tags,brier,25,0.09792738200331565,0.07914417422044863,0.018783207782867024,0.01583592042093466,0.02173049514479939,4.885023148359547,5.5644321776902525e-05,0.0011128864355380505,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w10,image,caption_noclass_tagsub,tags,accuracy,25,0.8909223677045568,0.9577784691056028,-0.06685610140104609,-0.07447865776320227,-0.05923354503888991,-6.722947946460531,5.925454974506309e-07,1.1850909949012617e-05,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w10,image,caption_noclass_tagsub,tags,balanced_accuracy,25,0.8906021260142291,0.9576728912719981,-0.06707076525776917,-0.07463673270380784,-0.0595047978117305,-6.794979303982666,4.994324361272903e-07,9.988648722545805e-06,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w10,image,caption_noclass_tagsub,tags,f1_macro,25,0.8906025461747689,0.9576810343787381,-0.06707848820396918,-0.07471453788842128,-0.05944243851951708,-6.733391487923374,5.780164027961595e-07,1.156032805592319e-05,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w10,image,caption_noclass_tagsub,tags,roc_auc,25,0.9645196352294099,0.9931779434831677,-0.028658308253757786,-0.03224645272793865,-0.02507016377957692,-6.122093717278696,2.525550641373889e-06,5.051101282747777e-05,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
tags_vs_clean,ant_bee,w10,image,caption_noclass_tagsub,tags,brier,25,0.08993045365923258,0.07914417422044863,0.010786279438783977,0.008121772226058394,0.013450786651509561,3.102945246236654,0.004853100439689371,0.09706200879378742,5.0,5.960464477539062e-07,1.1920928955078125e-05,False
subset_cost,ant_bee,w03,image,caption,caption_tagsub,accuracy,25,0.9838334575176679,0.9839918107463365,-0.0001583532286685152,-0.0029527631574571655,0.0026360567001201354,-0.043436632855855126,0.9657128502869098,1.0,134.0,0.6475683676310555,1.0,False
subset_cost,ant_bee,w03,image,caption,caption_tagsub,balanced_accuracy,25,0.9838349606451655,0.9840929524746704,-0.00025799182950490883,-0.0030129041245475705,0.002496920465537753,-0.07178232487179194,0.9433699890310355,1.0,141.0,0.5782062411308289,1.0,False
subset_cost,ant_bee,w03,image,caption,caption_tagsub,f1_macro,25,0.9838329048758733,0.9839603996891362,-0.00012749481326283175,-0.0029297003363929763,0.0026747107098673128,-0.03487481219400364,0.972468007018252,1.0,144.0,0.6338268518447876,1.0,False
subset_cost,ant_bee,w03,image,caption,caption_tagsub,roc_auc,25,0.9973278670174751,0.9971159220888434,0.00021194492863175986,-0.0009543988255338339,0.0013782886827973535,0.1392886747634897,0.8903842984814728,1.0,160.0,0.9578450322151184,1.0,False
subset_cost,ant_bee,w03,image,caption,caption_tagsub,brier,25,0.015680864423625776,0.020839394279023357,-0.005158529855397585,-0.00649182138332117,-0.003825238327473999,-2.965651904019731,0.006732442109916616,0.1346488421983323,3.0,2.980232238769531e-07,5.9604644775390625e-06,False
subset_cost,ant_bee,w05,image,caption,caption_tagsub,accuracy,25,0.9849157127051863,0.9852344601544601,-0.000318747449273924,-0.0027570724091490985,0.0021195775106012506,-0.10020155905248278,0.9210166514039132,1.0,154.0,0.8325093984603882,1.0,False
subset_cost,ant_bee,w05,image,caption,caption_tagsub,balanced_accuracy,25,0.9848998218180867,0.9853020192033148,-0.00040219738522806914,-0.002800662551195386,0.001996267780739248,-0.12853611597629325,0.8987957786255729,1.0,149.0,0.7309892177581787,1.0,False
subset_cost,ant_bee,w05,image,caption,caption_tagsub,f1_macro,25,0.9849144549620833,0.9852033002389367,-0.00028884527685330675,-0.002733256977733695,0.002155566424027082,-0.09057540019742673,0.9285816876475957,1.0,154.0,0.8325093984603882,1.0,False
subset_cost,ant_bee,w05,image,caption,caption_tagsub,roc_auc,25,0.9981667713749143,0.9968981791920085,0.0012685921829057767,0.0005160172242162534,0.0020211671415953,1.2920865704882967,0.2086308200744025,1.0,59.0,0.0041751861572265625,0.08350372314453125,False
subset_cost,ant_bee,w05,image,caption,caption_tagsub,brier,25,0.01747356816596625,0.02672872942290321,-0.009255161256936963,-0.01057598940462293,-0.007934333109250995,-5.371023093788319,1.6292036745713303e-05,0.00032584073491426604,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
subset_cost,ant_bee,w07,image,caption,caption_tagsub,accuracy,25,0.9844346903294272,0.9798420243800315,0.004592665949395646,0.0020273928899205026,0.00715793900887079,1.3723048642903528,0.18265922769033877,1.0,51.0,0.0018156766891479492,0.036313533782958984,False
subset_cost,ant_bee,w07,image,caption,caption_tagsub,balanced_accuracy,25,0.9844231327836052,0.9798076231332168,0.004615509650388301,0.001967686074929138,0.007263333225847463,1.3361338410428567,0.19403715076540282,1.0,52.0,0.002025127410888672,0.04050254821777344,False
subset_cost,ant_bee,w07,image,caption,caption_tagsub,f1_macro,25,0.9844336119946743,0.9797906799825732,0.0046429320121010595,0.0020580862791698693,0.00722777774503225,1.3768196016439174,0.1812767391770855,1.0,50.0,0.001625359058380127,0.03250718116760254,False
subset_cost,ant_bee,w07,image,caption,caption_tagsub,roc_auc,25,0.99766713162917,0.996232379979912,0.0014347516492581346,0.0005710660184856702,0.002298437280030599,1.2733282765623075,0.21509703978850908,1.0,55.0,0.0027848482131958008,0.055696964263916016,False
subset_cost,ant_bee,w07,image,caption,caption_tagsub,brier,25,0.020338238977150765,0.03297105518743871,-0.012632816210287945,-0.01379970610460154,-0.01146592631597435,-8.298309798517819,1.6408544665486025e-08,3.281708933097205e-07,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
subset_cost,ant_bee,w10,image,caption,caption_tagsub,accuracy,25,0.9774034184560502,0.964570664779374,0.012832753676675886,0.009453170764285127,0.016212336589066643,2.91055692447995,0.007667430405633456,0.15334860811266912,3.0,2.980232238769531e-07,5.9604644775390625e-06,False
subset_cost,ant_bee,w10,image,caption,caption_tagsub,balanced_accuracy,25,0.9774185002028511,0.9643846869693397,0.013033813233511408,0.009521679305974829,0.016545947161047986,2.844590597608225,0.008949761167881551,0.17899522335763102,3.0,2.980232238769531e-07,5.9604644775390625e-06,False
subset_cost,ant_bee,w10,image,caption,caption_tagsub,f1_macro,25,0.9774029545612116,0.9644726061905673,0.012930348370644445,0.009523139986703807,0.016337556754585085,2.9089139557540205,0.0076971288714848315,0.15394257742969664,3.0,2.980232238769531e-07,5.9604644775390625e-06,False
subset_cost,ant_bee,w10,image,caption,caption_tagsub,roc_auc,25,0.9966423418012339,0.9938214457103456,0.0028208960908882074,0.0016023842986821557,0.004039407883094259,1.7745028354733052,0.08866770686372534,1.0,26.0,6.365776062011719e-05,0.0012731552124023438,False
subset_cost,ant_bee,w10,image,caption,caption_tagsub,brier,25,0.02959286278628361,0.04819450010611739,-0.018601637319833785,-0.019852773539998782,-0.017350501099668788,-11.396353726617223,3.610348584881244e-11,7.220697169762488e-10,0.0,5.960464477539063e-08,1.1920928955078125e-06,True
leakage,cucumber_zucchini,w03,caption,caption,caption_noclass,accuracy,25,0.9223378005518329,0.6820474791271007,0.24029032142473214,0.23405378720387182,0.24652685564559246,29.533322898009747,2.2198492326618603e-20,8.879396930647441e-19,0.0,1.2279185361336645e-05,0.0004911674144534658,True
leakage,cucumber_zucchini,w03,caption,caption,caption_noclass,balanced_accuracy,25,0.9201769568488714,0.6876063821357726,0.23257057471309867,0.22649679913634527,0.23864435028985206,29.350490958133204,2.5666888245717142e-20,1.0266755298286856e-18,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w03,caption,caption,caption_noclass,f1_macro,25,0.9215861919792202,0.6817832261182499,0.23980296586097027,0.23352303258205304,0.2460828991398875,29.269740063261615,2.7374037400660635e-20,1.0949614960264254e-18,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w03,caption,caption,caption_noclass,roc_auc,25,0.9506541985261076,0.753117016661275,0.1975371818648325,0.1931086421851054,0.20196572154455958,34.190673711955625,7.148626256193517e-22,2.859450502477407e-20,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w03,caption,caption,caption_noclass,brier,25,0.07370116398208987,0.20404176372261254,-0.13034059974052267,-0.1321995776777065,-0.12848162180333886,-53.74336121869473,1.58702637579515e-26,6.3481055031806e-25,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w05,caption,caption,caption_noclass,accuracy,25,0.9369074784104348,0.6925985595012003,0.24430891890923426,0.23504307581299275,0.25357476200547574,20.210344909010086,1.412345150551649e-16,5.6493806022065964e-15,0.0,1.2279185361336645e-05,0.0004911674144534658,True
leakage,cucumber_zucchini,w05,caption,caption,caption_noclass,balanced_accuracy,25,0.9370793831008676,0.695437230623299,0.24164215247756854,0.23240816164601075,0.25087614330912633,20.058691624758197,1.6758219895803312e-16,6.703287958321325e-15,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w05,caption,caption,caption_noclass,f1_macro,25,0.9366166321501967,0.6924710246853839,0.2441456074648129,0.2348756333973812,0.2534155815322446,20.18783474399467,1.4485579621298918e-16,5.794231848519567e-15,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w05,caption,caption,caption_noclass,roc_auc,25,0.9510226369981105,0.7681924595025046,0.18283017749560568,0.17464374553833958,0.19101660945287177,17.118770493370207,5.915758457189345e-15,2.366303382875738e-13,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w05,caption,caption,caption_noclass,brier,25,0.07523449597679752,0.20219308600737151,-0.126958590030574,-0.1297560619088525,-0.1241611181522955,-34.78689819743591,4.758354732507727e-22,1.9033418930030907e-20,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w07,caption,caption,caption_noclass,accuracy,25,0.9307566202028166,0.6792185831511808,0.2515380370516358,0.2440945905997988,0.2589814835034728,25.902933115254207,4.713574990616e-19,1.8854299962463998e-17,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w07,caption,caption,caption_noclass,balanced_accuracy,25,0.9314298489692754,0.683122676909109,0.2483071720601664,0.24096888791093352,0.25564545620939927,25.936662130568912,4.5733760502216815e-19,1.8293504200886727e-17,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w07,caption,caption,caption_noclass,f1_macro,25,0.9305013630474247,0.679126770699283,0.2513745923481419,0.2439376312301997,0.25881155346608414,25.908675612932544,4.689393410016628e-19,1.8757573640066512e-17,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w07,caption,caption,caption_noclass,roc_auc,25,0.9485926759747271,0.7597489316913816,0.18884374428334563,0.18216690663959137,0.1955205819270999,21.679593359990868,2.851270032154571e-17,1.1405080128618284e-15,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w07,caption,caption,caption_noclass,brier,25,0.08791548976910211,0.20611828892450137,-0.11820279915539927,-0.12015233134398864,-0.1162532669668099,-46.47471081371362,5.026560232530563e-25,2.010624093012225e-23,0.0,5.960464477539063e-08,2.384185791015625e-06,True
leakage,cucumber_zucchini,w10,caption,caption,caption_noclass,accuracy,25,0.9214717812735157,0.6839101659081951,0.23756161536532058,0.22951273950946652,0.24561049122117465,22.62353083440054,1.0733715377596185e-17,4.293486151038474e-16,0.0,1.2279185361336645e-05,0.0004911674144534658,True
