pair,arm,setup,ranking,k,mean,sd,ci_lo,ci_hi,n_groups,frac_active
acousticguitar_violin,caption,w03,local,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,local,1,0.22393702456961992,0.006837934022234004,0.2211144641310207,0.22675958500821913,25,1.0
acousticguitar_violin,caption,w03,local,2,0.4612253739654139,0.006820542934236197,0.45840999221511547,0.46404075571571235,25,0.999760837070254
acousticguitar_violin,caption,w03,global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,global,1,0.21295714430800927,0.006544293979045489,0.2102557925219647,0.21565849609405385,25,0.9103644111282155
acousticguitar_violin,caption,w03,global,2,0.37193360253867985,0.0048238698209943035,0.3699424069416737,0.373924798135686,25,0.3698176382660688
acousticguitar_violin,caption,w03,smer_legacy,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,smer_legacy,1,0.22852274541496187,0.0313056700560624,0.21560039993506014,0.2414450908948636,25,1.0
acousticguitar_violin,caption,w03,smer_legacy,2,0.30505680155338183,0.03747506575995141,0.28958785468960596,0.3205257484171577,25,1.0
acousticguitar_violin,caption,w03,smer_legacy_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,smer_legacy_global,1,0.21480022974384091,0.030336946170005145,0.20227775383094884,0.227322705656733,25,0.9086826024264986
acousticguitar_violin,caption,w03,smer_legacy_global,2,0.21465556506806302,0.030380590123675392,0.20211507381653018,0.22719605631959586,25,0.0043826135105204875
acousticguitar_violin,caption,w03,smer_subsample,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,smer_subsample,1,0.2320434688476688,0.030238784414587362,0.21956151211593944,0.24452542557939816,25,1.0
acousticguitar_violin,caption,w03,smer_subsample,2,0.4587049536874286,0.02762859942933131,0.44730042836302986,0.4701094790118273,25,1.0
acousticguitar_violin,caption,w03,lime,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime,1,0.2320434688476688,0.030238784414587362,0.21956151211593944,0.24452542557939816,25,1.0
acousticguitar_violin,caption,w03,lime,2,0.4587036639889117,0.027627428790727635,0.44729962188037903,0.4701077060974444,25,1.0
acousticguitar_violin,caption,w03,lime_bow,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_bow,1,0.22801903048679809,0.030463786268674915,0.21544419755446576,0.24059386341913042,25,1.0
acousticguitar_violin,caption,w03,lime_bow,2,0.4527573870854999,0.025918489538462354,0.4420587604298992,0.46345601374110057,25,1.0
acousticguitar_violin,caption,w03,lime_ns500,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_ns500,1,0.2320434688476688,0.030238784414587362,0.21956151211593944,0.24452542557939816,25,1.0
acousticguitar_violin,caption,w03,lime_ns500,2,0.45868614376478895,0.02761655307452914,0.44728659093126,0.4700856965983179,25,1.0
acousticguitar_violin,caption,w03,lime_ns100,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_ns100,1,0.23123184339400604,0.03035895687707275,0.2187002819077825,0.24376340488022957,25,1.0
acousticguitar_violin,caption,w03,lime_ns100,2,0.45740950592851737,0.027370216799634445,0.44611163571167484,0.4687073761453599,25,1.0
acousticguitar_violin,caption,w03,lime_ns50,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_ns50,1,0.22951513831891204,0.031089122354425944,0.21668217933699657,0.24234809730082751,25,1.0
acousticguitar_violin,caption,w03,lime_ns50,2,0.45300437880653854,0.02705475844709348,0.4418367233977086,0.4641720342153685,25,1.0
acousticguitar_violin,caption,w03,lime_legacy,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_legacy,1,0.22349912448135245,0.031196812780071553,0.21062171307651875,0.23637653588618615,25,1.0
acousticguitar_violin,caption,w03,lime_legacy,2,0.38026703042080584,0.030433920824404572,0.3677045253379679,0.3928295355036438,25,1.0
acousticguitar_violin,caption,w03,lime_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_global,1,0.22575620528955603,0.03273862114571549,0.21224236667109064,0.23927004390802142,25,0.935600085469479
acousticguitar_violin,caption,w03,lime_global,2,0.3763861440576464,0.03461037673575619,0.36209968270518017,0.39067260541011267,25,0.3579321240760816
acousticguitar_violin,caption,w03,lime_bow_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_bow_global,1,0.22481401766107276,0.03328776187985527,0.21107350488834287,0.23855453043380265,25,0.9343767279656336
acousticguitar_violin,caption,w03,lime_bow_global,2,0.3749376176577772,0.03386815609116002,0.3609575299294695,0.38891770538608494,25,0.3577184190818887
acousticguitar_violin,caption,w03,lime_ns500_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_ns500_global,1,0.2255435574971647,0.03206668841921819,0.21230707907624502,0.2387800359180844,25,0.933836519578006
acousticguitar_violin,caption,w03,lime_ns500_global,2,0.37623273869739465,0.03441186638404152,0.36202821839080285,0.39043725900398646,25,0.3592660381295078
acousticguitar_violin,caption,w03,lime_ns100_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_ns100_global,1,0.22563888337320037,0.032276333336658296,0.21231586778356923,0.23896189896283151,25,0.9350984243399109
acousticguitar_violin,caption,w03,lime_ns100_global,2,0.37522843267329115,0.033714834497117346,0.3613116329884657,0.3891452323581166,25,0.3558136571771269
acousticguitar_violin,caption,w03,lime_ns50_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_ns50_global,1,0.22465231708735162,0.03339601142564426,0.21086712109825156,0.23843751307645167,25,0.9345190043883979
acousticguitar_violin,caption,w03,lime_ns50_global,2,0.37620785770871584,0.034612680861902334,0.36192044525972183,0.39049527015770985,25,0.3579321240760816
acousticguitar_violin,caption,w03,lime_legacy_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w03,lime_legacy_global,1,0.2233804297100761,0.03348780397701179,0.20955734361802894,0.23720351580212326,25,0.9316522090216024
acousticguitar_violin,caption,w03,lime_legacy_global,2,0.3732960313392998,0.034244336331459097,0.3591606640396188,0.38743139863898074,25,0.35759937146284115
acousticguitar_violin,caption,w05,local,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,local,1,0.22243659450019057,0.007854733078707937,0.2191943200395671,0.22567886896081404,25,1.0
acousticguitar_violin,caption,w05,local,2,0.44433122081742993,0.00880125955998737,0.44069823942815534,0.4479642022067045,25,1.0
acousticguitar_violin,caption,w05,local,3,0.5369376975381475,0.007022194500876747,0.5340390781121811,0.5398363169641138,25,1.0
acousticguitar_violin,caption,w05,local,4,0.6076251874359335,0.007395561143551537,0.6045724498346119,0.6106779250372552,25,0.944251567275729
acousticguitar_violin,caption,w05,global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,global,1,0.21743274545118219,0.00863042136422054,0.21387028260321048,0.2209952082991539,25,0.9554813377060885
acousticguitar_violin,caption,w05,global,2,0.38543309427909805,0.007984644027906846,0.3821371952142363,0.3887289933439598,25,0.4274228855721393
acousticguitar_violin,caption,w05,global,3,0.3865460130980737,0.008166926761514596,0.3831748714188714,0.38991715477727595,25,0.002450438391004618
acousticguitar_violin,caption,w05,global,4,0.3865460130980737,0.008166926761514596,0.3831748714188714,0.38991715477727595,25,0.0
acousticguitar_violin,caption,w05,smer_legacy,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,smer_legacy,1,0.22461022896158958,0.02513229837632177,0.2142361260677302,0.23498433185544895,25,1.0
acousticguitar_violin,caption,w05,smer_legacy,2,0.34243933114454306,0.03454072764256896,0.32818161952472635,0.35669704276435976,25,1.0
acousticguitar_violin,caption,w05,smer_legacy,3,0.27383900716880943,0.032202459113807605,0.26054648535963487,0.287131528977984,25,1.0
acousticguitar_violin,caption,w05,smer_legacy,4,0.21394564048695472,0.027259664005340394,0.20269340422073767,0.22519787675317177,25,0.9483224353915931
acousticguitar_violin,caption,w05,smer_legacy_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,smer_legacy_global,1,0.22294300684290477,0.025766692695912842,0.2123070388443036,0.23357897484150594,25,0.9660922402361274
acousticguitar_violin,caption,w05,smer_legacy_global,2,0.2230948926372381,0.025425517856697614,0.21259975469062095,0.23359003058385527,25,0.012589415871545615
acousticguitar_violin,caption,w05,smer_legacy_global,3,0.22293999982118137,0.02540607172039181,0.21245288884511435,0.2334271107972484,25,0.0016666666666666666
acousticguitar_violin,caption,w05,smer_legacy_global,4,0.22293999982118137,0.02540607172039181,0.21245288884511435,0.2334271107972484,25,0.0
acousticguitar_violin,caption,w05,smer_subsample,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,smer_subsample,1,0.2279223193415818,0.024916194489339957,0.21763741974802323,0.23820721893514038,25,1.0
acousticguitar_violin,caption,w05,smer_subsample,2,0.4466472598676047,0.031309344790101924,0.43372339753204325,0.4595711222031661,25,1.0
acousticguitar_violin,caption,w05,smer_subsample,3,0.5385511624046,0.029258417068291825,0.5264738814240479,0.550628443385152,25,1.0
acousticguitar_violin,caption,w05,smer_subsample,4,0.6090706012170619,0.02714187934386756,0.597866984069524,0.6202742183645998,25,0.9483224353915931
acousticguitar_violin,caption,w05,lime,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime,1,0.2279191028492834,0.024919560255798133,0.21763281393561448,0.23820539176295233,25,1.0
acousticguitar_violin,caption,w05,lime,2,0.4466416112492346,0.03131068743618428,0.4337171946966096,0.4595660278018597,25,1.0
acousticguitar_violin,caption,w05,lime,3,0.538244383920658,0.029370581471578693,0.526120803749984,0.5503679640913319,25,1.0
acousticguitar_violin,caption,w05,lime,4,0.6078940916410329,0.02734871450507953,0.5966050971351511,0.6191830861469148,25,0.9483224353915931
acousticguitar_violin,caption,w05,lime_bow,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_bow,1,0.22258364044347645,0.02702886217675294,0.21142667448966795,0.23374060639728494,25,1.0
acousticguitar_violin,caption,w05,lime_bow,2,0.4315543377512268,0.03083305395583799,0.41882707860921614,0.4442815968932375,25,1.0
acousticguitar_violin,caption,w05,lime_bow,3,0.5159198668569696,0.029884774838425256,0.5035840380962489,0.5282556956176903,25,1.0
acousticguitar_violin,caption,w05,lime_bow,4,0.5804876847925996,0.030443587585643715,0.5679211894668382,0.593054180118361,25,0.9483224353915931
acousticguitar_violin,caption,w05,lime_ns500,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_ns500,1,0.2279110770099593,0.024928106369432844,0.21762126043396274,0.23820089358595586,25,1.0
acousticguitar_violin,caption,w05,lime_ns500,2,0.446520773927154,0.031333439020997236,0.4335869659818949,0.4594545818724131,25,1.0
acousticguitar_violin,caption,w05,lime_ns500,3,0.531083480975791,0.02834773521544014,0.5193821109884792,0.5427848509631027,25,1.0
acousticguitar_violin,caption,w05,lime_ns500,4,0.5995000518209578,0.026951371082020798,0.5883750726189406,0.6106250310229749,25,0.9483224353915931
acousticguitar_violin,caption,w05,lime_ns100,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_ns100,1,0.22621867341966528,0.025421745534038535,0.21572509261131012,0.23671225422802045,25,1.0
acousticguitar_violin,caption,w05,lime_ns100,2,0.44576399874205896,0.03158902104306922,0.4327246917232534,0.45880330576086453,25,1.0
acousticguitar_violin,caption,w05,lime_ns100,3,0.5212055469726886,0.028739627376524083,0.5093424118518619,0.5330686820935153,25,1.0
acousticguitar_violin,caption,w05,lime_ns100,4,0.5806385365363091,0.02438161224387534,0.5705743016482479,0.5907027714243704,25,0.9483224353915931
acousticguitar_violin,caption,w05,lime_ns50,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_ns50,1,0.2279063833255409,0.024923845006589736,0.21761832575367282,0.23819444089740896,25,1.0
acousticguitar_violin,caption,w05,lime_ns50,2,0.44300360588893356,0.03119014555459545,0.4301289465795139,0.4558782651983532,25,1.0
acousticguitar_violin,caption,w05,lime_ns50,3,0.5170681046939076,0.02959170974656808,0.5048532472574965,0.5292829621303188,25,1.0
acousticguitar_violin,caption,w05,lime_ns50,4,0.5693287354910911,0.024706437646056296,0.5591304192669615,0.5795270517152207,25,0.9483224353915931
acousticguitar_violin,caption,w05,lime_legacy,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_legacy,1,0.21805243585079417,0.02743936840706385,0.20672602125333006,0.2293788504482583,25,1.0
acousticguitar_violin,caption,w05,lime_legacy,2,0.36936577828394845,0.03854655170315987,0.35345454376077406,0.38527701280712284,25,1.0
acousticguitar_violin,caption,w05,lime_legacy,3,0.3570326601545527,0.036449020678611554,0.3419872438842854,0.37207807642482,25,1.0
acousticguitar_violin,caption,w05,lime_legacy,4,0.34057270693270986,0.03772542457415509,0.32500041702962884,0.3561449968357909,25,0.9483224353915931
acousticguitar_violin,caption,w05,lime_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_global,1,0.22528532272551516,0.025540559965384787,0.21474269773036878,0.23582794772066154,25,0.9690422794267681
acousticguitar_violin,caption,w05,lime_global,2,0.3918159993710059,0.03498170820618702,0.37737625992099777,0.40625573882101407,25,0.4251702326656096
acousticguitar_violin,caption,w05,lime_global,3,0.3929942583554124,0.03460238646671201,0.3787110952239036,0.4072774214869212,25,0.0020334620334620333
acousticguitar_violin,caption,w05,lime_global,4,0.3929942583554124,0.03460238646671201,0.3787110952239036,0.4072774214869212,25,0.0
acousticguitar_violin,caption,w05,lime_bow_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_bow_global,1,0.22476295434207663,0.026101784850850025,0.21398866710015793,0.23553724158399533,25,0.9690422794267681
acousticguitar_violin,caption,w05,lime_bow_global,2,0.3891348934888038,0.033446850889481586,0.3753287120004462,0.4029410749771614,25,0.41878318734385384
acousticguitar_violin,caption,w05,lime_bow_global,3,0.39028303135297443,0.03315034059588347,0.37659924329830985,0.403966819407639,25,0.002849788564074278
acousticguitar_violin,caption,w05,lime_bow_global,4,0.39028303135297443,0.03315034059588347,0.37659924329830985,0.403966819407639,25,0.0
acousticguitar_violin,caption,w05,lime_ns500_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_ns500_global,1,0.22553750489917299,0.02533971360996961,0.21507778520483653,0.23599722459350944,25,0.9707089460934347
acousticguitar_violin,caption,w05,lime_ns500_global,2,0.39230360453750357,0.033742183169484324,0.37837551587556595,0.4062316931994412,25,0.4273941708895479
acousticguitar_violin,caption,w05,lime_ns500_global,3,0.39348186352191017,0.03333081513821736,0.3797235792375789,0.40724014780624146,25,0.0020334620334620333
acousticguitar_violin,caption,w05,lime_ns500_global,4,0.39348186352191017,0.03333081513821736,0.3797235792375789,0.40724014780624146,25,0.0
acousticguitar_violin,caption,w05,lime_ns100_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_ns100_global,1,0.225382254218096,0.025464063275619446,0.2148712055045448,0.23589330293164718,25,0.9689232318077206
acousticguitar_violin,caption,w05,lime_ns100_global,2,0.39234520288574054,0.03358688474058392,0.37848121826460907,0.406209187506872,25,0.4283465518419289
acousticguitar_violin,caption,w05,lime_ns100_global,3,0.3935234618701471,0.033172051905002824,0.37983071182755,0.40721621191274415,25,0.0020334620334620333
acousticguitar_violin,caption,w05,lime_ns100_global,4,0.3935234618701471,0.033172051905002824,0.37983071182755,0.40721621191274415,25,0.0
acousticguitar_violin,caption,w05,lime_ns50_global,0,0.0,0.0,0.0,0.0,25,1.0
acousticguitar_violin,caption,w05,lime_ns50_global,1,0.22553750489917299,0.02533971360996961,0.21507778520483653,0.23599722459350944,25,0.9707089460934347
acousticguitar_violin,caption,w05,lime_ns50_global,2,0.3913019273070777,0.03300345838148386,0.3776787692506187,0.40492508536353666,25,0.4250852278001169
